City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,19.8,64,0,2.74,AU,1675986421
1,ati,13.2154,18.3353,21.04,10,70,4.66,TD,1675986422
2,yellowknife,62.456,-114.3525,-19.71,84,20,2.06,CA,1675986321
3,pangai,-19.8,-174.35,30.06,66,20,3.09,TO,1675986427
4,sambava,-14.2667,50.1667,23.35,90,43,3.39,MG,1675986428
5,saint-pierre,-21.3393,55.4781,24.82,69,0,3.09,RE,1675986428
6,albany,42.6001,-73.9662,7.58,80,100,1.34,US,1675985770
7,pachino,36.7186,15.0907,11.34,94,100,19.21,IT,1675986429
8,cape town,-33.9258,18.4232,21.88,71,0,6.69,ZA,1675986429
9,avarua,-21.2078,-159.775,27.03,83,100,2.06,CK,1675986430
10,butaritari,3.0707,172.7902,27.12,82,94,8.13,KI,1675986430
11,new norfolk,-42.7826,147.0587,17.73,80,99,0.46,AU,1675986431
12,benguela,-12.5763,13.4055,23.47,80,46,2.57,AO,1675986431
13,atuona,-9.8,-139.0333,26.21,77,15,9.4,PF,1675986432
14,tinguindin,19.75,-102.4833,21.6,34,8,3.65,MX,1675986432
15,mataura,-46.1927,168.8643,15.82,37,62,1.75,NZ,1675986433
16,ushuaia,-54.8,-68.3,13.81,44,40,4.12,AR,1675985958
17,cockburn town,21.4612,-71.1419,25.02,77,0,10.32,TC,1675986433
18,saint-philippe,-21.3585,55.7679,24.77,81,78,5.11,RE,1675986434
19,coquimbo,-29.9533,-71.3436,19.85,77,20,4.63,CL,1675986424
20,bengkulu,-3.8004,102.2655,23.43,90,93,2.25,ID,1675986434
21,esperance,-33.8667,121.9,18.67,70,4,3.03,AU,1675986435
22,qaanaaq,77.484,-69.3632,-22.85,59,13,3.85,GL,1675986435
23,bandar,2.05,99.75,22.24,98,95,0.66,ID,1675986208
24,kapaa,22.0752,-159.319,23.44,86,75,10.8,US,1675986436
25,east london,-33.0153,27.9116,20.25,87,100,2.08,ZA,1675986436
26,dikson,73.5069,80.5464,-16.46,93,100,13.49,RU,1675986437
27,kaitangata,-46.2817,169.8464,16.95,43,53,0.48,NZ,1675986438
28,shemonaikha,50.6328,81.9056,-14.43,97,100,2.52,KZ,1675986438
29,mahebourg,-20.4081,57.7,26.16,78,75,3.6,MU,1675986439
30,mount isa,-20.7333,139.5,28.87,51,2,5.66,AU,1675986440
31,tuktoyaktuk,69.4541,-133.0374,-24.0,77,100,6.17,CA,1675986406
32,liling,27.6667,113.5,7.15,95,98,1.25,CN,1675986440
33,roma,43.2128,-75.4557,9.34,93,100,4.63,US,1675986441
34,huarmey,-10.0681,-78.1522,23.02,82,61,3.81,PE,1675986441
35,ponta do sol,32.6667,-17.1,15.0,75,51,5.33,PT,1675986442
36,punta arenas,-53.15,-70.9167,11.06,82,100,4.63,CL,1675986420
37,sawtell,-30.3833,153.1,22.01,83,41,3.09,AU,1675986443
